Beer_Name,Brew_Factory_Name,Style,ABV,id
Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,0
Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,5.60 %,1
Boneyard Skunkape India Red Ale,Boneyard Beer Company,India Pale Ale &#40; IPA &#41;,6.50 %,2
Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,5 %,3
21st Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Ale,7 %,4
Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,5
Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Amber Ale,-,6
Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,American Strong Ale,8 %,7
Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,7.80 %,8
Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Amber Ale,5.20 %,9
Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,American Strong Ale,-,10
&#40; 512 &#41; Cabernet Barrel Aged Three,&#40; 512 &#41; Brewing Company,Abbey Tripel,9.50 %,11
Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,6.70 %,12
Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,13
AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 %,14
Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,-,15
Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 %,16
ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Strong Ale,6.80 %,17
Saimaan Brewer_s Special American Red Ale,Saimaan Juomatehdas,Amber Ale,4.70 %,18
Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,American Strong Ale,7.50 %,19
Madhouse Venture Series Oak Aged Imperial Red,Madhouse Brewing Company,American Strong Ale,8.50 %,20
Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,5.80 %,21
William Street Red Sky Amber Ale,William Street Beer Co. .,Amber Ale,5 %,22
Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing,Irish Ale,5 %,23
Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,24
Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Amber Ale,8 %,25
Pokertree Red Earl Ruby Ale,Pokertree,Amber Ale,5.50 %,26
Liberty High Point Rocket_s Red Ale,Liberty Brewery & Grill - High Point,Irish Ale,-,27
Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,American Strong Ale,8.50 %,28
Spiteful Angry Adam Hoppy Red Ale,Spiteful Brewing,Amber Ale,6 %,29
Wynwood Fox Imperial Red Ale,Wynwood Brewing Company,American Strong Ale,7.70 %,30
Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Edge Brewing Company,American Strong Ale,8.50 %,31
Aspen Bourbon Barrel Aged Conundrum Red Ale,Aspen Brewing Company,Amber Ale,6.50 %,32
Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barley Wine,17.50 %,33
Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,34
Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50 %,35
Hearthstone Red Rye Ale,Hearthstone Brewery,Specialty Grain,5 %,36
Sacramento River Otter Ale,Sacramento Brewing Company,English Pale Ale,5.50 %,37
Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,38
Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Strong Ale,9.20 %,39
Central Coast Old Mission Amber Ale,Central Coast Brewing,Amber Ale,5.50 %,40
Lancaster Hop Buggy Amber Ale,Lancaster Brewing Co. .,Amber Ale,5.60 %,41
Spring House Atomic Raygun Imperial Red Ale,Spring House Brewing Company,American Strong Ale,8.30 %,42
Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,43
Freedom Soho Red,Freedom,Amber Lager/Vienna,4.70 %,44
Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery,Barley Wine,12 %,45
Bendorf Neudorf Red Ale,Bendorf,Irish Ale,6 %,46
Proof Abandoned Planet Imperial Red Ale,Proof Brewing Company,Amber Ale,7.50 %,47
406 Imperial Red Ale,406 Brewing Company,American Strong Ale,9.20 %,48
Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50 %,49
Baird Smoked Amber Ale,Baird Brewing Co. .,Smoked,-,50
Ale Mania Imperial Red Ale,Ale Mania &#40; Fritz Ale &#41;,American Strong Ale,9.50 %,51
Squatters Respect Your Mother Organic Amber Ale,Squatters Craft Beers,Amber Ale,4 %,52
Flat 12 Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,Amber Ale,-,53
Pizza Port Acacia Amber Ale,Pizza Port &#40; Solana Beach &#41;,Belgian Ale,-,54
Railway City Iron Spike Amber Ale,Railway City Brewing Company,Amber Ale,4.60 %,55
Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,Premium Bitter/ESB,5.70 %,56
Red Horn Coffee House and Brewing Company Red Horn Drink Well Red Ale,Red Horn Coffee House and Brewing Company,Amber Ale,5.50 %,57
The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 %,58
Thirsty Pagan North Coast Amber Ale,Thirsty Pagan Brewing,Amber Ale,-,59
Barley Johns Reds on Vacation,Barley Johns Brew Pub,Amber Ale,5.44 %,60
Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;,Barley Wine,14 %,61
Lagunitas Imperial Red Ale,Lagunitas Brewing Company &#40; Heineken &#41;,American Strong Ale,7.80 %,62
Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,63
AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,AleSmith Brewing Company,American Strong Ale,8.50 %,64
Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,65
Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.70 %,66
Haines Eldred Rock Amber,Haines Brewing Co. .,Amber Ale,5 %,67
Bacchus / Burrow Bloodhound Blood Red IPA,Bacchus Brewing Company &#40; Australia &#41;,India Pale Ale &#40; IPA &#41;,6 %,68
Excel My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 %,69
Austin Beerworks Battle Axe Imperial Red Ale,Austin Beerworks,American Strong Ale,8 %,70
Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,71
Renegade Scarlett Letter Imperial Red Ale,Renegade Brewing Company,American Strong Ale,8.50 %,72
Stadin American Red Ale,Stadin Panimo,Amber Ale,4.50 %,73
Lompoc Bourbon Barrel Aged Old Tavern Rat,Lompoc Brewing,Barley Wine,9.70 %,74
Big Texan Texas Red Amber Ale,Big Texan Brewery,Amber Ale,4.50 %,75
Blue Star Apache Amber Ale,Blue Star Brewing Co. .,Amber Ale,-,76
Imperial Oak Barrel Aged Odin_s Beard,Imperial Oak Brewing,American Strong Ale,9 %,77
Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,78
Kilted Dragon Bonnie Heather Amber Ale,Kilted Dragon Brewing Company,Amber Ale,5 %,79
Hammond River Red Coat India Red Ale,Hammond River Brewing,Amber Ale,6.50 %,80
Peter Bs Sum Of Hours Imperial Red Ale,Peter Bs Brewpub,American Strong Ale,9.50 %,81
Belle Gueule Rousse,Brasseurs RJ,Amber Lager/Vienna,5.20 %,82
Slanted Rock Iron Butt Red Ale,Slanted Rock Brewing Company,Amber Ale,5.80 %,83
Ise Kadoya Amarillo Amber Ale,Ise Kadoya,Amber Ale,-,84
Speakeasy Wet Hop Prohibition Red Ale,Speakeasy Ales and Lagers,Amber Ale,6.10 %,85
Big Time Lift Ticket American Red Ale,Big Time Brewery,India Pale Ale &#40; IPA &#41;,7 %,86
Barbarian Red Ale,CervecerÃa Barbarian,Amber Ale,6.50 %,87
Elevator Barrel Aged Barley Wine,Elevator Brewing Company,Barley Wine,-,88
Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,Figueroa Mountain Brewing,American Strong Ale,8 %,89
Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,90
Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,Midnight Sun Brewing Company,Amber Ale,7.50 %,91
Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red,Blue Pants Brewery,Amber Ale,9 %,92
John Harvards Oatmeal Amber Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;,Amber Ale,6.50 %,93
Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company,American Strong Ale,8.60 %,94
Hill Farmstead Amarillo Single Hop Pale Ale,Hill Farmstead Brewery,American Pale Ale,5.20 %,95
Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 %,96
Pints Rip Saw Red,Pints Brewing Company,Amber Ale,5.90 %,97
Cape Cod Bourbon Barrel Red,Cape Cod Beer,Amber Ale,5.50 %,98
Flossmoor Station Barrel Aged Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,Amber Ale,6.50 %,99
Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,100
Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,-,101
Americas American Red Ale,Americas Brewpub,Amber Ale,-,102
Genesee Brew House American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,103
Big Time Atlas Amber Ale,Big Time Brewery,Amber Ale,5.40 %,104
Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,105
Aarhus Cains Triple A American Amber Ale,Aarhus Bryghus,Amber Ale,5.50 %,106
MadTree Bourbon Barrel Aged Happy Amber,MadTree Brewing Company,Amber Ale,6 %,107
Mad River Jamaica Red Ale,Mad River Brewery,Amber Ale,6.50 %,108
Piney River McKinney Eddy Amber Ale,Piney River Brewing Company,Amber Ale,-,109
Red Duck Amber Ale,Purrumbete Brewing,Amber Ale,4.80 %,110
Golden City Centurion Barleywine Ale,Golden City Brewery,Barley Wine,11.20 %,111
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,112
Prohibition Pig Dream of the 90s,Prohibition Pig,Amber Ale,-,113
Fuller_s Traitor_s Gate,Fuller_s,Bitter,4.50 %,114
Canal Park General Sterling Price American Amber Ale - Centennial,Canal Park Brewing Company,Amber Ale,4.80 %,115
Rockyard Blarney Rock Irish Ale,Rockyard Brewing Company,Irish Ale,-,116
Blue Heron Corey_s American Pale Ale &#40; C.A.P.A. &#41;,Blue Heron Brewpub,American Pale Ale,6.20 %,117
Big Horn Buttface Amber Ale,Big Horn Brewing Company &#40; Ram International &#41;,Amber Ale,5.80 %,118
Amsterdam X Sawdust City X Great Lakes X Indie Ale Barley Wine &#40; Oak &#41;,Amsterdam Brewing Company,Barley Wine,10 %,119
Laguna Beach Grateful Red Imperial Red Ale,Laguna Beach Brewing,American Strong Ale,11 %,120
Cigar City Cold Brew Series - Red Ale,Cigar City Brewing,Amber Ale,7.20 %,121
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,122
Granville Island Gastown Amber Ale,Granville Island &#40; Brewery - MolsonCoors &#41;,Amber Ale,5.50 %,123
Charleville Tornado Alley Amber Ale,Charleville Vineyard & Microbrewery,Amber Ale,-,124
Baird Red Rose Amber Ale,Baird Brewing Co. .,California Common,5.40 %,125
Wild Ride 3 Sisters American Red Ale,Wild Ride Brewing,Amber Ale,6 %,126
Legacy Bourbon Barrel Hedonism Red,Legacy Brewing,American Strong Ale,7.10 %,127
Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,Amber Ale,6 %,128
Hermit Thrush Abbey Series # 1 - Jolly Abbot Barley Wine,Hermit Thrush Brewery,Barley Wine,13 %,129
Worthy Eruption Imperial Red Ale,Worthy Brewing Company,American Strong Ale,8 %,130
Cape Ann Fisherman_s Tea Party,Cape Ann Brewing Company,Barley Wine,9 %,131
Out of Bounds Relentless Double Red Ale,Out of Bounds Brewing Company,American Strong Ale,8.20 %,132
Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 %,133
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,134
Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,135
Hangar 24 Barrel Roll No. 04 : Hammerhead - Bourbon Barrel Aged with Chai Tea,Hangar 24 Craft Brewery,Barley Wine,13.90 %,136
Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Kettle House Brewing Company,American Strong Ale,13 %,137
Maldita Old Continent American Amber Ale,Faustino Microcervejeira,Amber Ale,6 %,138
Revolution Barrel Aged Institutionalized Barley Wine,Revolution Brewing Company,Barley Wine,13 %,139
Trailhead Red Amber Ale,Trailhead Brewing Co. .,Amber Ale,-,140
Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,141
Fat Bottom Ruby Red American Ale,Fat Bottom Brewery,Amber Ale,4.60 %,142
Big Choice Disconnected Red Ale,Big Choice Brewing,Amber Ale,6.70 %,143
Union Craft Chessie Barleywine Barrel Aged,Union Craft Brewing Company,Barley Wine,9.80 %,144
Estes Park Trail Ridge Red,Estes Park Brewery,Bitter,4.50 %,145
Radiant Pig Gangster Duck American Red Ale,Radiant Pig Beer Company,Amber Ale,6.20 %,146
Swamp Head Sciaenhops Imperial Red Ale,Swamp Head Brewery,American Strong Ale,8.30 %,147
Aqula Summer Session Ale,Aqula,English Pale Ale,4.50 %,148
Nighthawk 16-Hour Dry Hopped Amber,Nighthawk Brewery,Amber Ale,6.70 %,149
Howe Sound Three Beavers Imperial Red Ale,Howe Sound Brewing,American Strong Ale,7.50 %,150
Loose Shoe SlÃ ¡ inte Irish Red Ale,Loose Shoe Brewing Company,Irish Ale,5.50 %,151
Brewsters Winter WARMer Amber Ale,Brewsters Brewing Co. - Alberta,Amber Ale,6 %,152
Grand Canyon Sunset Amber Ale,Grand Canyon Brewing Company,Amber Ale,5 %,153
De Koninck TSTBRW 01 Imperial Red Ale,Brouwerij De Koninck &#40; Duvel-Moortgat &#41;,American Strong Ale,7.80 %,154
Yalobusha Copperhead Amber Ale,Yalobusha Brewing Company,Amber Ale,5.60 %,155
Dark Horse Amber Ale,Dark Horse Brewing Company,Amber Ale,5.50 %,156
Fox and Hound Red Fox Amber Ale,Anheuser-Busch InBev,Amber Ale,5.10 %,157
Boxing Cat Firecracker Imperial Red Ale,Boxing Cat Brewery,Amber Ale,6.60 %,158
Grado Plato Strada S. Felice,Birrificio Grado Plato,Spice/Herb/Vegetable,8 %,159
Swashbuckler Red Sea Amber Ale,Swashbuckler Brewing Company,Amber Ale,-,160
BottleTree Imperial Red Ale,Thomas Creek Brewery,American Strong Ale,7.50 %,161
Heinzelmannchen Big Amber Gnome Ale,Heinzelmannchen Brewery,Amber Ale,8 %,162
Anderson Valley Barrel Aged Horn of the Beer Barley Wine,Anderson Valley Brewing Company,Barley Wine,8.60 %,163
Hangar 24 Barrel Roll No. 04 : Hammerhead - Barrel Aged Barley Wine,Hangar 24 Craft Brewery,Barley Wine,11.20 %,164
Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,165
Engine House No. 9 Rowdy Dick Amber Ale,Engine House No. 9 Restaurant and Brewery,Amber Ale,5.30 %,166
Pine Creek River Valley Red Ale,Big Rock Brewery,Amber Ale,5 %,167
Barrel Trolley Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,-,168
Lompoc Bourbon Barrel Aged Proletariat Red Ale,Lompoc Brewing,Amber Ale,6.40 %,169
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,170
Rusty Truck Stupiphany Imperial Red Ale,Rusty Truck Brewing / Roadhouse 101,American Strong Ale,8 %,171
Ice Harbor Double Red Ale - Fresh Hop,Ice Harbor Brewing Company,Amber Ale,7 %,172
Big Axe Maple Wheat Amber Ale,Big Axe Brewery and B & B,Amber Ale,5 %,173
Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,174
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,175
Big Island Red Giant Ale,Big Island Brewhaus,American Strong Ale,6.50 %,176
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,177
Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,178
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,179
Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,180
Heist American Red Ale,Heist Brewery,Amber Ale,4.50 %,181
Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,11.25 %,182
Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,183
Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6 %,184
Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,185
Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,-,186
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,187
Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,188
Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Alley Kat Brewing Company,Irish Ale,-,189
Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,Amber Ale,8.50 %,190
Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,Amber Ale,5.20 %,191
Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,192
23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,193
Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,194
18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,195
Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,6 %,196
Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Amber Ale,4.60 %,197
Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,198
Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,5 %,199
Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,200
Sierra Andina Alpamayo Amber Ale,Sierra Andina,Amber Ale,5.80 %,201
Deschutes Green Lakes Non-Organic Ale,Deschutes Brewery,Amber Ale,6.40 %,202
GoodLife Redside India Red Ale,GoodLife Brewing Company,India Pale Ale &#40; IPA &#41;,6 %,203
Upland Easy Chair Amber Ale,Upland Brewing Company,Amber Ale,5.60 %,204
Legends of the Bay Giant_s Tomb,Hockley Valley Brewing & Malting Company,Amber Ale,5 %,205
Intuition Barrel Aged Riverside Red,Intuition Ale Works,Amber Ale,7.80 %,206
Liberty Street Red Glare Amber Ale,Liberty Street Brewing Company,Amber Ale,5.20 %,207
21st Amendment Bourbon Barrel Lower da Boom Barleywine,21st Amendment Brewery,Barley Wine,9.50 %,208
Big Bear Mountain Orange Blossom Amber Ale,Big Bear Mountain Brewery,Fruit Beer,4.50 %,209
Willoughby American Amber Ale,Willoughby Brewing Co. .,Amber Ale,5.50 %,210
Bridge Ambleside Amber Ale - Pomegranate & Galena Hops,Bridge Brewing Company,Amber Ale,5.30 %,211
Fin City Jackspot Amber Ale,Fin City Brewing Company,Amber Ale,5.80 %,212
La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .,Amber Ale,6 %,213
Outpost Mr. Grain Jeans Organic Amber Ale,Lakefront Brewery,Amber Ale,5.50 %,214
Phillips Double Dragon Imperial Red Ale,Phillips Brewing Co. .,American Strong Ale,8.20 %,215
Bagby Hop Crop Red Ale,Bagby Beer Company,Amber Ale,5.90 %,216
Colorado Mountain Ole 59er Amber Ale,Colorado Mountain Brewery,Amber Ale,5.20 %,217
Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company,Barley Wine,10 %,218
Amazon Beer Priprioca Red Ale,Amazon Beer,Amber Ale,6 %,219
Hillcrest Big Red Balls,Hillcrest Brewing Company,Imperial IPA,8 %,220
Breckenridge Mountain Series : Hoppy Amber Ale,Breckenridge Brewery,Amber Ale,6.10 %,221
2nd Story Hoppy New Year Amber Ale,2nd Story Brewing Company,Amber Ale,5.70 %,222
Andersonville Bourbon Barrel Aged Sour Gangster,Andersonville Brewing Company,Sour Red/Brown,5.50 %,223
Upland Rad Red Amber Ale,Upland Brewing Company,Amber Ale,5.60 %,224
Buckleys Original Ale,Yarra Flats Brewery,English Pale Ale,4.90 %,225
Catawba Valley Indian Head Red,Catawba Valley Brewing Company,Amber Ale,5 %,226
Coopers Cave Radeau Red Ale,Coopers Cave Ale Company,Irish Ale,-,227
RJ King Wingwalker Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Oktoberfest/M Ã $ rzen,4.50 %,228
21st Amendment Big Hoppy Red Bird,21st Amendment Brewery,Amber Ale,7.10 %,229
Below Grade Super Duty Double Red Ale,Below Grade Brewing LLC,American Strong Ale,7.70 %,230
Flathead Lake Dock Start Amber Ale,Flathead Lake Brewing Company,Amber Ale,5.60 %,231
Lofty Zeb_s American Red Ale,Lofty Brewing Company,Amber Ale,5.40 %,232
Laurelwood Fresh Hop Free Range Red &#40; Amarillo &#41;,Laurelwood Public House & Brewery,Amber Ale,6.10 %,233
The Civil Life Stevie_s 5 Star Amber Ale,The Civil Life Brewing Company,Amber Ale,5 %,234
Half Moon Bay Mavericks Amber Ale,Half Moon Bay Brewing Company,Amber Ale,4.80 %,235
Central City Red Racer India Red Ale,Central City Brewers + Distillers,Irish Ale,5.50 %,236
BNS The Hills Have Eyes Amber Ale,BNS Brewing & Distilling,Amber Ale,5.20 %,237
Acoustic Rock Steady Red Cider,Acoustic Brewing Company,Cider,6 %,238
Metolius River Ales Rusty Spinner Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5.10 %,239
Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,240
Ruby Mountain Angel Creek Amber Ale,Ruby Mountain Brewing Company,Amber Ale,-,241
Boxing Rock Temptation Red Ale,Boxing Rock Brewing Company,Amber Ale,6 %,242
Oskar Blues British Knight Scotch Red Ale,Oskar Blues Brewery,Scottish Ale,7.40 %,243
Chapman_s Red RYEding Hood,Chapman_s Brewing Company,Specialty Grain,10 %,244
Fish Rock Red Emperor Amber Ale,Australian Independent Brewers,Amber Ale,4.50 %,245
8 Wired Tall Poppy India Red Ale,Renaissance Brewing,Amber Ale,7 %,246
Flying Monkeys Amber Ale,Flying Monkeys Craft Brewery,Amber Ale,5 %,247
JT Schmids Emils Amber Ale,JT Schmids Brewhouse & Eatery,Amber Ale,5.20 %,248
Columbus Bourbon Barrel Aged Uncle Rusty,Columbus Brewing Company,American Strong Ale,-,249
Crannog Wobbly Toddler Red Milk Ale,Crannog Ales,English Strong Ale,7.50 %,250
Catawba Valley Revenuers Red Ale,Catawba Valley Brewing Company,Irish Ale,5.20 %,251
Chy_e Sierra Amber Ale,Zamecky Pivovar Chy_e,Amber Ale,5.30 %,252
Daytona Beach FL Wildflower Unite Red Ale,Daytona Beach Brewing Company,Amber Ale,5.90 %,253
Black Diamond Steep Trail Amber Ale,Black Diamond Brewing Company,Amber Ale,5.70 %,254
Bull City Movamber Moustache Ale,Bull City Burger and Brewery,Amber Ale,-,255
Bentley Hooligan Amber Ale,Bentley Brewing Co. / Dark Horse Tavern,Amber Ale,6 %,256
Actual Bourbon Barrel Aged Elektron,Actual Brewing Company,Amber Ale,7.30 %,257
I & I Bitter Orange Blossom,I & I Brewing,Amber Ale,5.30 %,258
Elk Mountain Rock Slide Amber Ale,Elk Mountain Brewing Company,Amber Ale,5.50 %,259
Conshohocken Hale Fire Red Ale,Conshohocken Brewing Co. .,Amber Ale,6.60 %,260
Willimantic Riverfest Red Ale,Willimantic Brewing Company,Amber Ale,5.20 %,261
Bull & Barrel Session - Amber Ale,Bull & Barrel Brew Pub,Amber Ale,4.70 %,262
10 Barrel Crosby Farms Harvest Fresh Hop Ale,10 Barrel Brewing &#40; AB InBev &#41;,India Pale Ale &#40; IPA &#41;,5.50 %,263
Aftershock Oatmeal Raisin Cookie Ale,Aftershock Brewing Company,Golden Ale/Blond Ale,5.50 %,264
Ranga Premium Red Ale,Southern Bay Brewing Company,Amber Ale,4.50 %,265
Hideout Red Curry Ale,The Hideout Brewing Company,Amber Ale,-,266
300 Suns Rabbit Mountain Red Ale,300 Suns Brewing,Amber Ale,6 %,267
Legends of the Bay Ghosts of Hope Island,Hockley Valley Brewing & Malting Company,Amber Ale,5 %,268
