name,addr,city,phone,type,class,id
toulouse,b peachtree rd.,atlanta,404/351 -9533,french,92,0
gallagher's,228 w. 52nd st.,new york,212/245 -5336,american,254,1
center stage plaza hotel,1 main st.,las vegas,702/386 -2512,american,436,2
sa tsu ki,3043 buford hwy .,atlanta,404/325 -5285,asian,415,3
pinot bistro,12969 ventura blvd.,los angeles,818/990 -0500,french,18,4
china grill,60 w. 53rd st.,new york,212/333 -7788,american,219,5
lespinasse,2 e. 55th st.,new york,212/339 -6719,american,43,6
tang pavillion,65 w. 55th st.,new york,212/956 -6888,asian,356,7
aquavit,13 w. 54th st.,new york,212/307 -7311,continental,24,8
abbey,163 ponce de leon ave.,atlanta,404/876 -8532,international,379,9
fifty seven fifty seven,57 e. 57th st.,new york,212/758 -5757,american,239,10
grand cafe hotel monaco,501 geary st.,san francisco,415/292 -0101,american,473,11
horseradish grill,4320 powers ferry rd.,atlanta,404/255 -7277,southern,398,12
luna si,1931 peachtree rd.,atlanta,404/355 -5993,continental,405,13
bruno,240 e. 58th st.,new york,212/688 -4190,italian,195,14
eclipse,8800 melrose ave.,los angeles,310/724 -5959,californian,132,15
pacific dining car,6th st.,los angeles,213/483 -6000,american,153,16
rainbow room,30 rockefeller plaza,new york,212/632 -5000,or 212/632 -5100 american,55,17
cafe claude,7 claude la .,san francisco,415/392 -3505,french,97,18
yolie's,3900 paradise rd.,las vegas,702/794 -0700,steak houses,452,19
heera of india,595 piedmont ave. rio shopping mall,atlanta,404/876 -4408,asian,83,20
l \  osteria del forno,519 columbus ave.,san francisco,415/982 -1124,italian,490,21
bertolini's,3570 las vegas blvd. s,las vegas,702/735 -4663,italian,427,22
maykadeh,470 green st.,san francisco,415/362 -8286,greek and middle eastern,495,23
dawat,210 e. 58th st.,new york,212/355 -7555,asian,32,24
the bacchanal,3570 las vegas blvd. s,las vegas,702/731 -7525,only in las vegas,449,25
posto,14928 ventura blvd.,sherman oaks,818/784 -4400,italian,156,26
antonio's,3700 w. flamingo,las vegas,702/252 -7737,italian,423,27
ruth's chris,148 w. 51st st.,new york,212/245 -9600,american,338,28
tommy tang's,7313 melrose ave.,los angeles,213/937 -5733,asian,167,29
circus circus,2880 las vegas blvd. s,las vegas,702/734 -0410,buffets,437,30
l \  orangerie,903 n. la cienega blvd.,los angeles,310/652 -9770,french,11,31
vong,200 e. 54th st.,new york,212/486 -9592,american,373,32
margarita's mexican cantina,3120 las vegas blvd. s,las vegas,702/794 -8200,mexican,444,33
dining room ritz-carlton buckhead,3434 peachtree rd.,atlanta,404/237 -2700,international,90,34
dante's down the hatch buckhead,3380 peachtree rd.,atlanta,404/266 -1600,continental,393,35
helmand,430 broadway,san francisco,415/362 -0641,greek and middle eastern,479,36
ralph's diner,3000 las vegas blvd. s,las vegas,702/732 -6330,coffee shops/diners,448,37
yoyo tsumami bistro,1611 post st.,san francisco,415/922 -7788,french,530,38
seryna,11 e. 53rd st.,new york,212/980 -9393,asian,59,39
mikado,3400 las vegas blvd. s,las vegas,702/791 -7111,asian,446,40
bistro,3400 las vegas blvd. s,las vegas,702/791 -7111,continental,429,41
cafe fes,246 w. 4th st. at charles st.,new york,212/924 -7653,mediterranean,205,42
masa's,648 bush st.,san francisco,415/989 -7154,french,106,43
em press court,3570 las vegas blvd. s,las vegas,702/731 -7888,asian,438,44
mesa grill,102 5th ave. between 15th and 16th sts .,new york,212/807 -7400,american,47,45
chin's,3200 las vegas blvd. s,las vegas,702/733 -8899,asian,67,46
patina,5955 melrose ave.,los angeles,213/467 -1108,californian,16,47
triangolo,345 e. 83rd st.,new york,212/472 -4488,italian,363,48
gilliland's,2424 main st.,santa monica,310/392 -3901,american,135,49
nikolai's roof,255 courtland st. at harris st.,atlanta,404/221 -6362,continental,87,50
le bernardin,155 w. 51st st.,new york,212/489 -1515,french,41,51
faz,161 sutter st.,san francisco,415/362 -0404,greek and middle eastern,469,52
veni vidi vici,41 14th st.,atlanta,404/875 -8424,italian,93,53
cite,120 w. 51st st.,new york,212/956 -7100,french,220,54
oceana,55 e. 54th st.,new york,212/759 -5941,seafood,50,55
cafe roma,3570 las vegas blvd. s,las vegas,702/731 -7547,coffee shops/diners,433,56
manora,3226 mission st.,san francisco,415/861 -6224,asian,494,57
canter's,419 n. fairfax ave.,los angeles,213/651 -2030 .,american,122,58
hong kong villa,2332 clement st.,san francisco,415/752 -8833,asian,481,59
jack's,615 sacramento st.,san francisco,415/986 -9854,old san francisco,485,60
lutece,249 e. 50th st.,new york,212/752 -2225,french,44,61
mary mac's tea room,224 ponce de leon ave.,atlanta,404/876 -1800,southern,86,62
valentino,3115 pico blvd.,santa monica,310/829 -4313,italian,21,63
lulu,816 folsom st.,san francisco,415/495 -5775,mediterranean,105,64
tomtom,3393 peachtree rd.,atlanta,404/264 -1163,continental,422,65
broadway deli,3rd st. promenade,santa monica,310/451 -0616,american,117,66
pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261 -3662,international,88,67
hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233 -7673,international,82,68
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296 -7465,american,110,69
fleur de jour,348 e. 62nd st.,new york,212/355 -2020,coffee bar,245,70
dix et sept,181 w. 10th st.,new york,212/645 -8023,french,228,71
jimmy's,201 moreno dr.,los angeles,310/552 -2394,continental,142,72
petrossian,182 w. 58th st.,new york,212/245 -2214,french,52,73
aqua,252 california st.,san francisco,415/956 -9662,seafood,95,74
victor's cafe,52 236 w. 52nd st.,new york,212/586 -7714,latin american,371,75
steak house,2880 las vegas blvd. s,las vegas,702/734 -0410,steak houses,72,76
sarabeth's kitchen,423 amsterdam ave. between 80th and 81st sts .,new york,212/496 -6280,american,344,77
river cafe,1 water st. at the east river,brooklyn,718/522 -5200,american,56,78
la grotta,2637 peachtree rd. . peachtree house condominium,atlanta,404/231 -1368,italian,85,79
cafe bizou,14016 ventura blvd.,sherman oaks,818/788 -3536,french,3,80
union square cafe,21 e. 16th st.,new york,212/243 -4020,american,65,81
taste of new orleans,889 w. peachtree st.,atlanta,404/874 -5535,southern,421,82
coyote cafe,3799 las vegas blvd. s,las vegas,702/891 -7349,southwestern,68,83
bally's big kitchen,3645 las vegas blvd. s,las vegas,702/739 -4111,buffets,424,84
island spice,402 w. 44th st.,new york,212/765 -1737,tel caribbean,37,85
beesley's of buckhead,260 e. paces ferry road,atlanta,404/264 -1334,continental,384,86
march,405 e. 58th st.,new york,212/754 -6272,american,46,87
joss,9255 sunset blvd.,los angeles,310/276 -1886,asian,143,88
rose pistola,532 columbus ave.,san francisco,415/399 -0499,italian,111,89
water club,500 e. 30th st.,new york,212/683 -3333,american,374,90
bone's,3130 piedmont road,atlanta,404/237 -2663,american,76,91
l \  absinthe,227 e. 67th st.,new york,212/794 -4950,french,277,92
carnival world,3700 w. flamingo rd.,las vegas,702/252 -7777,buffets,435,93
cafe bianco,1486 2nd ave. between 77th and 78th sts .,new york,212/988 -2655,coffee bar,199,94
palace court,3570 las vegas blvd. s,las vegas,702/731 -7547,continental,70,95
bugsy's diner,3555 las vegas blvd. s,las vegas,702/733 -3111,coffee shops/diners,431,96
bolo,23 e. 22nd st.,new york,212/228 -2200,mediterranean,191,97
felidia,243 e. 58th st.,new york,212/758 -1479,italian,33,98
hard rock cafe,221 w. 57th st.,new york,212/489 -6565,american,261,99
smith & wollensky,201 e. 49th st.,new york,212/753 -1530,american,62,100
matthew's,1030 3rd ave. at 61st st.,new york,212/838 -4343,american,305,101
border grill,4th st.,los angeles,310/451 -1655,mexican,116,102
cafe ritz-carlton buckhead,3434 peachtree rd.,atlanta,404/237 -2700,ext 6108 international,89,103
vivande porta via,2125 fillmore st.,san francisco,415/346 -4430,italian,524,104
pisces,95 ave. a at 6th st.,new york,212/260 -6660,seafood,54,105
le chardonnay,8284 melrose ave.,los angeles,213/655 -8880,french,12,106
granita,23725 w. malibu rd.,malibu,310/456 -0488,californian,8,107
georgia grille,2290 peachtree rd. . peachtree square shopping center,atlanta,404/352 -3517,american,81,108
camille's,1186 n. highland ave.,atlanta,404/872 -7203,italian,388,109
bistango,1100 peachtree st.,atlanta,404/724 -0901,mediterranean,386,110
le marais,150 w. 46th st.,new york,212/869 -0900,american,290,111
le chantilly,106 e. 57th st.,new york,212/751 -2931,french,285,112
tadich grill,240 california st.,san francisco,415/391 -2373,seafood,519,113
sanppo,1702 post st.,san francisco,415/346 -3486,asian,510,114
restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665 -1891,asian,10,115
zuni cafe & grill,1658 market st.,san francisco,415/552 -2522,mediterranean,532,116
la folie,2316 polk st.,san francisco,415/776 -5577,french,104,117
virgil's,152 w. 44th st.,new york,212 / 921-9494,american,66,118
restaurant ritz-carlton atlanta,181 peachtree st.,atlanta,404/659 -0400,continental,91,119
mon kee seafood restaurant,679 n. spring st.,los angeles,213/628 -6717,asian,147,120
the palm,9001 santa monica blvd.,los angeles,310/550 -8811,american,15,121
le perigord,405 e. 52nd st.,new york,212/755 -6244,french,291,122
fenix,8358 sunset blvd. west,hollywood,213/848 -6677,american,7,123
la reserve,4 w. 49th st.,new york,212/247 -2993,french,281,124
le colonial,149 e. 57th st.,new york,212 / 752-0808,asian,286,125
cafe michelle,1350 e. flamingo rd.,las vegas,702/735 -8686,american,432,126
la cote basque,60 w. 55th st. between 5th and 6th ave.,new york,212/688 -6525,french,40,127
ernie's,2150 broadway between 75th and 76th sts .,new york,212/496 -1588,american,234,128
kabuto sushi,5116 geary blvd.,san francisco,415/752 -5652,asian,486,129
manhattan ocean club,57 w. 58th st.,new york,212 / 371-7777,seafood,45,130
des alpes,732 broadway,san francisco,415/788 -9900,french,468,131
lincoln tavern,51 w. 64th st.,new york,212/721 -8271,american,294,132
indigo coastal grill,1397 n. highland ave.,atlanta,404/876 -0676,caribbean,84,133
art's delicatessen,12224 ventura blvd.,studio,818/762 -1221,american,1,134
cafe adriano,3347 fillmore st.,san francisco,415/474 -4180,italian,461,135
brasserie le coze,3393 peachtree rd. . lenox square mall near neiman marcus,atlanta,404/266 -1440,french,77,136
21 club,21 w. 52nd st.,new york,212/582 -7200,american,23,137
arnie morton's of chicago,435 s. la cienega blv .,los angeles,310/246 -1501,american,0,138
chiam,160 e. 48th st.,new york,212/371 -2323,asian,218,139
cafe lalo,201 w. 83rd st.,new york,212/496 -6031,coffee bar,26,140
shun lee west,43 w. 65th st.,new york,212/371 -8844,asian,60,141
sea grill,19 w. 49th st.,new york,212/332 -7610,seafood,345,142
rex il ristorante,617 s. olive st.,los angeles,213/627 -2300,italian,19,143
cafe pierre,2 e. 61st st.,new york,212/940 -8185,french,203,144
le jardin,25 cleveland pl . near spring st.,new york,212/343 -9599,french,288,145
gianni's,15 fulton st.,new york,212/608 -7300,seafood,255,146
planet hollywood,140 w. 57th st.,new york,212/333 -7827,american,328,147
hard rock cafe,8600 beverly blvd.,los angeles,310/276 -7605,american,137,148
california pizza kitchen,207 s. beverly dr.,los angeles,310/275 -1101,californian,121,149
matsuhisa,129 n. la cienega blvd.,beverly hills,310/659 -9639,asian,14,150
california culinary academy,625 polk st.,san francisco,415/771 -3500,french,463,151
osteria al droge,142 w. 44th st.,new york,212/944 -3643,italian,317,152
feast,2411 w. sahara ave.,las vegas,702/367 -2411,buffets,439,153
palisades,1829 peachtree rd.,atlanta,404/350 -6755,continental,410,154
orso,322 w. 46th st.,new york,212/489 -7212,italian,316,155
plumpjack cafe,3201 fillmore st.,san francisco,415/563 -4755,mediterranean,108,156
r.j.'s uptown kitchen & wine bar,870 n. highland ave.,atlanta,404/875 -7775,american,413,157
orleans,11705 national blvd.,los angeles,310/479 -4187,cajun,152,158
palio,151 w. 51st . st.,new york,212/245 -4850,italian,320,159
2223,2223 market st.,san francisco,415/431 -0692,american,453,160
betelnut,2030 union st.,san francisco,415/929 -8855,asian,456,161
san pietro,18 e. 54th st.,new york,212/753 -9015,italian,342,162
philippe's the original,1001 n. alameda st.,los angeles,213/628 -3781,american,17,163
mavalli palace,46 e. 29th st.,new york,212/679 -5535,asian,306,164
morton's,8764 melrose ave.,los angeles,310/276 -5205,american,148,165
pen & pencil,205 e. 45th st.,new york,212/682 -8660,american,325,166
monkey bar,60 e. 54th st.,new york,212/838 -2600,american,308,167
four seasons grill room,99 e. 52nd st.,new york,212/754 -9494,american,34,168
la caravelle,33 w. 55th st.,new york,212/586 -4252,french,39,169
jewel of india,15 w. 44th st.,new york,212/869 -5544,asian,273,170
tavola calda,7371 melrose ave.,los angeles,213/658 -6340,italian,165,171
bamboo garden,4850 flamingo rd.,las vegas,702/871 -3262,asian,425,172
boulevard,1 mission st.,san francisco,415/543 -6084,american,96,173
em pire korea,6 e. 32nd st.,new york,212/725 -1333,asian,233,174
montrachet,239 w. broadway between walker and white sts .,new york,212 / 219-2777,french,49,175
oritalia,1915 fillmore st.,san francisco,415/346 -1333,italian,501,176
le montrachet,3000 w. paradise rd.,las vegas,702/732 -5111,continental,69,177
annie's thai castle,3195 roswell rd.,atlanta,404/264 -9546,asian,381,178
french quarter food shop,923 peachtree st. at 8th st.,atlanta,404/875 -2489,southern,396,179
mambo restaurante cubano,1402 n. highland ave.,atlanta,404/874 -2626,caribbean,406,180
dive !,10250 santa monica blvd.,los angeles,310/788 -,dive american,128,181
buckhead diner,3073 piedmont road,atlanta,404/262 -3336,american,78,182
alley's end,311 w. 17th st.,new york,212/627 -8899,american,178,183
hotel bel-air,701 stone canyon rd.,bel air,310/472 -1211,californian,2,184
bistro roti,155 steuart st.,san francisco,415/495 -6500,french,457,185
hong kong flower lounge,5322 geary blvd.,san francisco,415/668 -8998,asian,480,186
binion's coffee shop,128 fremont st.,las vegas,702/382 -1600,coffee shops/diners,428,187
le colonial,8783 beverly blvd.,los angeles,310/289 -0660,asian,144,188
picholine,35 w. 64th st.,new york,212/724 -8585,mediterranean,53,189
carta,1772 market st.,san francisco,415/863 -3516,american,465,190
campton place,340 stockton st.,san francisco,415/955 -5555,american,98,191
le madri,168 w. 18th st.,new york,212/727 -8022,italian,289,192
two two two,222 w. 79th st.,new york,212/799 -0400,american,368,193
uncle nick's,747 9th ave. between 50th and 51st sts .,new york,212/315 -1726,mediterranean,64,194
moose's,1652 stockton st.,san francisco,415/989 -7800,mediterranean,498,195
swingers,8020 beverly blvd.,los angeles,213/653 -5858,american,164,196
jean lafitte,68 w. 58th st.,new york,212/751 -2323,french,272,197
ton kiang,3148 geary blvd.,san francisco,415/752 -4440,asian,522,198
mandarin court,1510 e. flamingo rd.,las vegas,702/737 -1234,asian,443,199
second street grille,200 e. fremont st.,las vegas,702/385 -3232,seafood,71,200
gotham bar & grill,12 e. 12th st.,new york,212/620 -4020,american,35,201
9 jones street,9 jones st.,new york,212/989 -1220,american,173,202
citrus,6703 melrose ave.,los angeles,213/857 -0034,californian,6,203
viva mercado's,6182 w. flamingo rd.,las vegas,702/871 -8826,mexican,451,204
lillie langtry's,129 e. fremont st.,las vegas,702/385 -7111,asian,442,205
hawthorne lane,22 hawthorne st.,san francisco,415/777 -9779,american,102,206
golden nugget hotel,129 e. fremont st.,las vegas,702/385 -7111,buffets,440,207
gabriela's,685 amsterdam ave. at 93rd st.,new york,212/961 -0574,mexican,253,208
grill on the alley,9560 dayton way,los angeles,310/276 -0615,american,9,209
postrio,545 post st.,san francisco,415/776 -7825,american,109,210
katia's,600 5th ave.,san francisco,415/668 -9292,,487,211
alain rondelli,126 clement st.,san francisco,415/387 -0408,french,94,212
nate \  n \  al's,414 n. beverly dr.,los angeles,310/274 -0101,american,149,213
locanda veneta,3rd st.,los angeles,310/274 -1893,italian,13,214
lanza restaurant,168 1st ave. between 10th and 11th sts .,new york,212/674 -7014,italian,282,215
manhattan cafe,1161 1st ave. between 63rd and 64th sts .,new york,212/888 -6556,american,300,216
otabe,68 e. 56th st.,new york,212/223 -7575,asian,318,217
campanile,624 s. la brea ave.,los angeles,213/938 -1447,american,4,218
le soleil,133 clement st.,san francisco,415/668 -4848,asian,492,219
inca grill,492 broome st. near w. broadway,new york,212/966 -3371,latin american,268,220
ferrier,29 e. 65th st.,new york,212/772 -9000,french,238,221
il nido,251 e. 53rd st.,new york,212/753 -8450,italian,267,222
golden steer,308 w. sahara ave.,las vegas,702/384 -4470,steak houses,441,223
carnegie deli,854 7th ave. between 54th and 55th sts .,new york,212/757 -2245,delicatessen,29,224
judson grill,152 w. 52nd st.,new york,212/582 -5252,american,276,225
teresa's,103 1st ave. between 6th and 7th sts .,new york,212/228 -0604,east european,358,226
shaan,57 w. 48th st.,new york,212 / 977-8400,asian,349,227
bizou,598 fourth st.,san francisco,415/543 -2222,french,459,228
tillerman,2245 e. flamingo rd.,las vegas,702/731 -4036,seafood,73,229
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,818/585 -0855,asian,22,230
jo jo,160 e. 64th st.,new york,212/223 -5656,american,38,231
jack sprat's grill,10668 w. pico blvd.,los angeles,310/837 -6662,health food,140,232
les celebrites,160 central park s,new york,212/484 -5113,french,42,233
abruzzi,2355 peachtree rd. . peachtree battle shopping center,atlanta,404/261 -8186,italian,74,234
schatzi on main,3110 main st.,los angeles,310/399 -4800,continental,162,235
le dome,8720 sunset blvd.,los angeles,310/659 -6919,french,145,236
ca \  brea,346 s. la brea ave.,los angeles,213/938 -2863,italian,118,237
ed debevic's,134 n. la cienega,los angeles,310/659 -1952,american,133,238
san domenico,240 central park s,new york,212/265 -5959,italian,57,239
second avenue deli,156 2nd ave. at 10th st.,new york,212/677 -0606,delicatessen,58,240
il fornaio cucina italiana,301 n. beverly dr.,los angeles,310/550 -8330,italian,139,241
bacchanalia,3125 piedmont rd. . near peachtree rd.,atlanta,404/365 -0410,international,75,242
cafe des artistes,1 w. 67th st.,new york,212/877 -3500,continental,27,243
mifune japan center kintetsu building,1737 post st.,san francisco,415/922 -0337,asian,107,244
cafe botanica,160 central park s,new york,212/484 -5120,french,200,245
pamplemousse,400 e. sahara ave.,las vegas,702/733 -2066,continental,447,246
aureole,34 e. 61st st.,new york,212 / 319-1660,american,25,247
cha cha cha,656 n. virgil ave.,los angeles,213/664 -7723,caribbean,124,248
fleur de lys,777 sutter st.,san francisco,415/673 -7779,french,100,249
ciboulette,1529 piedmont ave.,atlanta,404/874 -7600,french,79,250
joe allen,326 w. 46th st.,new york,212/581 -6464,american,275,251
fringale,570 4th st.,san francisco,415/543 -0573,french,101,252
carmine's,2450 broadway between 90th and 91st sts .,new york,212/362 -2200,italian,28,253
gramercy tavern,42 e. 20th st. between park ave. s and broadway,new york,212/477 -0777,american,36,254
pacific pan pacific hotel,500 post st.,san francisco,415/929 -2087,french,502,255
ben benson's,123 w. 52nd st.,new york,212/581 -8888,american,187,256
follonico,6 w. 24th st.,new york,212/691 -6359,italian,247,257
drai's,730 n. la cienega blvd.,los angeles,310/358 -8585,french,130,258
tse yang,34 e. 51st st.,new york,212/688 -5447,asian,366,259
chez michel,804 northpoint,san francisco,415/775 -7036,french,99,260
post house,28 e. 63rd st.,new york,212/935 -2888,american,331,261
delectables,1 margaret mitchell sq.,atlanta,404/681 -2909,american,80,262
south park cafe,108 south park,san francisco,415/495 -7275,french,512,263
coco pazzo,23 e. 74th st.,new york,212/794 -0205,italian,221,264
chinois on main,2709 main st.,santa monica,310/392 -9025,french,5,265
daniel,20 e. 76th st.,new york,212/288 -0033,french,31,266
parioli romanissimo,24 e. 81st st.,new york,212/288 -2391,italian,322,267
tavern on the green,in central park at 67th st.,new york,212/873 -3200,american,63,268
le central,453 bush st.,san francisco,415/391 -2233,french,491,269
khan toke thai house,5937 geary blvd.,san francisco,415/668 -6654,asian,103,270
park avenue cafe,100 e. 63rd st.,new york,212/644 -1900,american,51,271
barbetta,321 w. 46th st.,new york,212/246 -9171,italian,186,272
vida,1930 north hillhurst ave.,los feliz,213/660 -4446,american,170,273
one market,1 market st.,san francisco,415/777 -5577,american,500,274
lattanzi ristorante,361 w. 46th st.,new york,212/315 -0980,italian,283,275
caffe bondi ristorante,7 w. 20th st.,new york,212/691 -8136,italian,212,276
sign of the dove,1110 3rd ave. at 65th st.,new york,212/861 -8080,american,61,277
duane park cafe,157 duane st. between w. broadway and hudson st.,new york,212/732 -5555,american,230,278
perry's,1944 union st.,san francisco,415/922 -9022,american,506,279
popover cafe,551 amsterdam ave. between 86th and 87th sts .,new york,212/595 -8555,american,330,280
rj's the rib joint,252 n. beverly dr.,los angeles,310/274 -7427,american,158,281
remi,3rd st. promenade,santa monica,310/393 -6545,italian,159,282
hayes street grill,320 hayes st.,san francisco,415/863 -5545,seafood,478,283
sfuzzi,58 w. 65th st.,new york,212/873 -3700,american,348,284
venetian,3713 w. sahara ave.,las vegas,702/876 -4190,italian,450,285
corrado cafe,1013 3rd ave. between 60th and 61st sts .,new york,212/753 -5100,coffee bar,223,286
chanterelle,2 harrison st. near hudson st.,new york,212/966 -6960,american,30,287
mi cocina,57 jane st. off hudson st.,new york,212/627 -8273,mexican,48,288
capp's corner,1600 powell st.,san francisco,415/989 -2589,italian,464,289
zarzuela,2000 hyde st.,san francisco,415/346 -0800,mexican/latin american/spanish,531,290
ipanema,13 w. 46th st.,new york,212/730 -5848,latin american,271,291
straits cafe,3300 geary blvd.,san francisco,415/668 -1783,asian,517,292
